date,ticker,Index,Type,N
2019-07-31 00:00:00+00:00,AMD,4967,Bad,3670.0
2019-08-08 00:00:00+00:00,AMD,4973,Good,2671.0
2019-10-30 00:00:00+00:00,AMD,5030,Neutral,3945.0
2020-01-29 00:00:00+00:00,AMD,5090,Bad,4704.0
2013-04-08 00:00:00+00:00,AMRN,5946,Neutral,924.0
2013-05-28 00:00:00+00:00,AMRN,5981,Neutral,857.0
2013-07-09 00:00:00+00:00,AMRN,6010,Bad,1150.0
2013-10-30 00:00:00+00:00,AMRN,6089,Bad,1320.0
2014-01-31 00:00:00+00:00,AMRN,6151,Bad,130.0
2014-02-28 00:00:00+00:00,AMRN,6170,Neutral,394.0
2014-03-17 00:00:00+00:00,AMRN,6181,Neutral,517.0
2014-03-28 00:00:00+00:00,AMRN,6190,Neutral,204.0
2014-04-01 00:00:00+00:00,AMRN,6192,Good,419.0
2014-04-28 00:00:00+00:00,AMRN,6211,Neutral,134.0
2014-11-07 00:00:00+00:00,AMRN,6346,Bad,315.0
2014-12-12 00:00:00+00:00,AMRN,6369,Good,137.0
2015-02-26 00:00:00+00:00,AMRN,6419,Good,290.0
2015-03-04 00:00:00+00:00,AMRN,6423,Good,362.0
2015-05-08 00:00:00+00:00,AMRN,6470,Neutral,386.0
2015-05-29 00:00:00+00:00,AMRN,6484,Neutral,785.0
2015-08-07 00:00:00+00:00,AMRN,6533,Good,625.0
2015-10-23 00:00:00+00:00,AMRN,6586,Neutral,96.0
2015-11-04 00:00:00+00:00,AMRN,6594,Neutral,149.0
2016-02-25 00:00:00+00:00,AMRN,6669,Good,148.0
2016-03-09 00:00:00+00:00,AMRN,6678,Good,238.0
2016-04-22 00:00:00+00:00,AMRN,6710,Good,114.0
2016-05-05 00:00:00+00:00,AMRN,6719,Bad,177.0
2016-06-01 00:00:00+00:00,AMRN,6737,Good,334.0
2016-08-11 00:00:00+00:00,AMRN,6787,Bad,430.0
2016-09-26 00:00:00+00:00,AMRN,6818,Good,219.0
2016-10-19 00:00:00+00:00,AMRN,6834,Good,90.0
2016-10-27 00:00:00+00:00,AMRN,6840,Good,201.0
2017-03-24 00:00:00+00:00,AMRN,6940,Bad,71.0
2017-05-03 00:00:00+00:00,AMRN,6968,Bad,72.0
2017-05-18 00:00:00+00:00,AMRN,6979,Neutral,66.0
2017-06-27 00:00:00+00:00,AMRN,7006,Good,245.0
2017-10-27 00:00:00+00:00,AMRN,7091,Neutral,40.0
2017-11-01 00:00:00+00:00,AMRN,7094,Good,106.0
